,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by
392,Jormungand,TV (12 eps),Apr 2012 - Jun 2012,"337,858 ","Action, Adventure",Unknown,Funimation,"2,890",626,7.811,https://myanimelist.net/anime/12413/Jormungand,"144,413"
393,City Hunter 3,TV (13 eps),Oct 1989 - Jan 1990,"19,952 ","Action, Comedy, Mystery",Unknown,"ADV Films, Discotek Media",47,4479,7.801,https://myanimelist.net/anime/1472/City_Hunter_3,"8,361"
394,Date A Live IV,TV (12 eps),Apr 2022 - Jun 2022,"217,251 ","Comedy, Romance, Sci-Fi",Fridays at 22:00 (JST),"None found, add some","3,229",993,7.801,https://myanimelist.net/anime/41461/Date_A_Live_IV,"63,890"
395,Enen no Shouboutai: Ni no Shou,TV (24 eps),Jul 2020 - Dec 2020,"686,013 ","Action, Supernatural",Saturdays at 01:55 (JST),Funimation,"2,638",259,7.801,https://myanimelist.net/anime/40956/Enen_no_Shouboutai__Ni_no_Shou,"356,728"
396,Kekkai Sensen & Beyond,TV (12 eps),Oct 2017 - Dec 2017,"409,420 ","Action, Comedy, Fantasy, Supernatural",Sundays at 03:08 (JST),Funimation,"1,582",494,7.801,https://myanimelist.net/anime/34451/Kekkai_Sensen___Beyond,"184,014"
397,Last Exile,TV (26 eps),Apr 2003 - Sep 2003,"167,867 ","Action, Adventure, Sci-Fi",Tuesdays at 01:30 (JST),"Funimation, Geneon Entertainment USA","1,795",1268,7.801,https://myanimelist.net/anime/97/Last_Exile,"69,236"
398,Pokemon: Mezase Pokemon Master,TV (11 eps),Jan 2023 -,"13,519 ","Action, Adventure, Comedy, Fantasy",Fridays at 18:55 (JST),"None found, add some",84,5228,7.801,https://myanimelist.net/anime/53874/Pokemon__Mezase_Pokemon_Master,"1,599"
399,Seikai no Senki II,TV (10 eps),Jul 2001 - Sep 2001,"22,767 ","Action, Romance, Sci-Fi",Unknown,"Funimation, Bandai Entertainment",115,4222,7.801,https://myanimelist.net/anime/397/Seikai_no_Senki_II,"11,398"
400,Wolf's Rain,TV (26 eps),Jan 2003 - Jul 2003,"314,932 ","Action, Adventure, Drama, Fantasy, Mystery, Sci-Fi",Tuesdays at 02:10 (JST),"Funimation, Bandai Entertainment","5,587",679,7.801,https://myanimelist.net/anime/202/Wolfs_Rain,"128,419"
401,Buddy Daddies,TV (13 eps),Jan 2023 -,"115,931 ","Action, Comedy",Saturdays at 00:00 (JST),"None found, add some",688,1681,7.791,https://myanimelist.net/anime/53411/Buddy_Daddies,"16,277"
402,Ginga Tetsudou 999,TV (113 eps),Sep 1978 - Mar 1981,"34,000 ","Adventure, Drama, Sci-Fi",Thursdays at 19:00 (JST),Discotek Media,420,3485,7.791,https://myanimelist.net/anime/1491/Ginga_Tetsudou_999,"6,471"
403,Shadows House,TV (13 eps),Apr 2021 - Jul 2021,"218,848 ","Fantasy, Mystery",Sundays at 00:30 (JST),Funimation,"1,728",984,7.791,https://myanimelist.net/anime/43439/Shadows_House,"86,516"
404,Taishou Otome Otogibanashi,TV (12 eps),Oct 2021 - Dec 2021,"120,973 ","Comedy, Drama, Romance",Saturdays at 01:53 (JST),Funimation,984,1622,7.791,https://myanimelist.net/anime/45055/Taishou_Otome_Otogibanashi,"50,065"
405,Tokyo Ghoul,TV (12 eps),Jul 2014 - Sep 2014,"2,640,470 ","Action, Fantasy, Horror",Fridays at 00:00 (JST),Funimation,"48,430",9,7.791,https://myanimelist.net/anime/22319/Tokyo_Ghoul,"1,753,340"
406,Lupin III: Part II,TV (155 eps),Oct 1977 - Oct 1980,"32,648 ","Action, Adventure, Comedy, Mystery",Mondays at 19:00 (JST),"Discotek Media, Geneon Entertainment USA",323,3542,7.781,https://myanimelist.net/anime/1425/Lupin_III__Part_II,"11,156"
407,Doraemon (1979),TV (1787 eps),Apr 1979 - Mar 2005,"57,525 ","Adventure, Comedy, Fantasy, Sci-Fi",Fridays at 19:00 (JST),"None found, add some",551,2628,7.781,https://myanimelist.net/anime/2471/Doraemon_1979,"34,731"
408,Go! Princess Precure,TV (50 eps),Feb 2015 - Jan 2016,"16,368 ","Action, Comedy, Fantasy",Sundays at 08:30 (JST),"None found, add some",294,4853,7.781,https://myanimelist.net/anime/28669/Go_Princess_Precure,"6,057"
