anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page,anime_scored_by,anime_season_aired,anime_year_aired
Ginban Kaleidoscope,TV (12 eps),Oct 2005 - Dec 2005,47986,"Drama, Romance, Sports, Supernatural",Sundays at 02:40 (JST),"None found, add some",153,2894,7.311,https://myanimelist.net/anime/476/Ginban_Kaleidoscope,22395,fall,2005 
Hisone to Maso-tan,TV (12 eps),Apr 2018 - Jun 2018,78865,"Award Winning, Comedy, Drama, Fantasy",Fridays at 00:00 (JST),"None found, add some",298,2173,7.311,https://myanimelist.net/anime/36884/Hisone_to_Maso-tan,35079,spring,2018 
Kaitou Joker 4th Season,TV (13 eps),Oct 2016 - Dec 2016,4212,"Adventure, Comedy, Mystery",Mondays at 19:00 (JST),"None found, add some",25,8343,7.311,https://myanimelist.net/anime/33490/Kaitou_Joker_4th_Season,1732,fall,2016 
Onegai My Melody: Kurukuru Shuffle!,TV (52 eps),Apr 2006 - Mar 2007,5153,"Comedy, Fantasy",Sundays at 09:30 (JST),"None found, add some",24,7728,7.321,https://myanimelist.net/anime/4114/Onegai_My_Melody__Kurukuru_Shuffle,1485,spring,2006 
Rikei ga Koi ni Ochita no de Shoumei shitemita. Heart,TV (12 eps),Apr 2022 - Jun 2022,131355,"Comedy, Romance",Saturdays at 01:30 (JST),"None found, add some",488,1520,7.311,https://myanimelist.net/anime/43470/Rikei_ga_Koi_ni_Ochita_no_de_Shoumei_shitemita_Heart,40050,spring,2022 
Shinrei Tantei Yakumo,TV (13 eps),Oct 2010 - Dec 2010,129203,"Horror, Mystery, Supernatural",Unknown,Sentai Filmworks,536,1541,7.311,https://myanimelist.net/anime/7662/Shinrei_Tantei_Yakumo,54599,fall,2010 
Shoukoushi Cedie,TV (43 eps),Jan 1988 - Dec 1988,4223,"Drama, Slice of Life",Sundays at 19:30 (JST),"None found, add some",11,8334,7.311,https://myanimelist.net/anime/2555/Shoukoushi_Cedie,1404,winter,1988 
Speed Grapher,TV (24 eps),Apr 2005 - Sep 2005,108606,"Action, Mystery",Fridays at 02:40 (JST),Funimation,581,1777,7.311,https://myanimelist.net/anime/198/Speed_Grapher,39869,spring,2005 
Tales of Zestiria the Cross 2nd Season,TV (13 eps),Jan 2017 - Apr 2017,154436,"Action, Adventure, Fantasy",Sundays at 23:00 (JST),Funimation,209,1361,7.311,https://myanimelist.net/anime/34086/Tales_of_Zestiria_the_Cross_2nd_Season,74080,winter,2017 
The Third: Aoi Hitomi no Shoujo,TV (24 eps),Apr 2006 - Oct 2006,20978,"Action, Adventure, Sci-Fi",Fridays at 00:30 (JST),"Nozomi Entertainment, Kadokawa Pictures USA",91,4367,7.311,https://myanimelist.net/anime/944/The_Third__Aoi_Hitomi_no_Shoujo,7732,spring,2006 
Tsuki to Laika to Nosferatu,TV (12 eps),Oct 2021 - Dec 2021,135111,"Fantasy, Sci-Fi",Sundays at 01:35 (JST),Funimation,686,1493,7.311,https://myanimelist.net/anime/48471/Tsuki_to_Laika_to_Nosferatu,46828,fall,2021 
Trinity Blood,TV (24 eps),Apr 2005 - Oct 2005,177272,"Action, Supernatural",Fridays at 00:00 (JST),Funimation,1283,1202,7.301,https://myanimelist.net/anime/27/Trinity_Blood,78506,spring,2005 
Zegapain,TV (26 eps),Apr 2006 - Sep 2006,33054,"Action, Romance, Sci-Fi",Thursdays at 18:00 (JST),"Bandai Entertainment, Sentai Filmworks",163,3521,7.301,https://myanimelist.net/anime/878/Zegapain,10716,spring,2006 
Zettai Karen Children,TV (51 eps),Apr 2008 - Mar 2009,45063,"Action, Comedy, Supernatural",Sundays at Unknown,Sentai Filmworks,119,2990,7.301,https://myanimelist.net/anime/4038/Zettai_Karen_Children,11723,spring,2008 
Zoku Touken Ranbu: Hanamaru,TV (12 eps),Jan 2018 - Mar 2018,27835,"Action, Comedy, Drama, Fantasy, Slice of Life",Mondays at 00:00 (JST),Funimation,137,3841,7.301,https://myanimelist.net/anime/34863/Zoku_Touken_Ranbu__Hanamaru,7686,winter,2018 
Boku wa Tomodachi ga Sukunai Next,TV (12 eps),Jan 2013 - Mar 2013,511747,"Comedy, Romance, Ecchi",Unknown,Funimation,1203,383,7.301,https://myanimelist.net/anime/14967/Boku_wa_Tomodachi_ga_Sukunai_Next,311009,winter,2013 
Btooom!,TV (12 eps),Oct 2012 - Dec 2012,820159,"Action, Sci-Fi",Thursdays at 23:00 (JST),Sentai Filmworks,3328,189,7.301,https://myanimelist.net/anime/14345/Btooom,472727,fall,2012 
Busou Renkin,TV (26 eps),Oct 2006 - Mar 2007,167500,"Action, Fantasy, Supernatural",Thursdays at 01:00 (JST),VIZ Media,847,1269,7.301,https://myanimelist.net/anime/1536/Busou_Renkin,78799,fall,2006 
Danna ga Nani wo Itteiru ka Wakaranai Ken,TV (13 eps),Oct 2014 - Dec 2014,335152,"Comedy, Romance",Fridays at 01:00 (JST),"None found, add some",809,632,7.291,https://myanimelist.net/anime/26349/Danna_ga_Nani_wo_Itteiru_ka_Wakaranai_Ken,178137,fall,2014 
Gamba no Bouken,TV (26 eps),Apr 1975 - Sep 1975,3916,"Adventure, Suspense",Unknown,"None found, add some",29,8534,7.301,https://myanimelist.net/anime/5267/Gamba_no_Bouken,1210,spring,1975 
GJ-bu,TV (12 eps),Jan 2013 - Mar 2013,168960,"Comedy, Slice of Life",Unknown,"None found, add some",740,1263,7.301,https://myanimelist.net/anime/14811/GJ-bu,74177,winter,2013 
Kamisama no Inai Nichiyoubi,TV (12 eps),Jul 2013 - Sep 2013,213686,"Adventure, Fantasy, Mystery",Sundays at 01:30 (JST),Sentai Filmworks,870,1005,7.301,https://myanimelist.net/anime/16009/Kamisama_no_Inai_Nichiyoubi,91358,summer,2013 
Kazoku Robinson Hyouryuuki: Fushigi na Shima no Flone,TV (50 eps),Jan 1981 - Dec 1981,6237,"Adventure, Drama, Slice of Life",Sundays at 19:30 (JST),"None found, add some",26,7129,7.301,https://myanimelist.net/anime/2544/Kazoku_Robinson_Hyouryuuki__Fushigi_na_Shima_no_Flone,2554,winter,1981 
Kurau Phantom Memory,TV (24 eps),Jun 2004 - Dec 2004,29898,"Action, Drama, Sci-Fi",Unknown,"ADV Films, Funimation",136,3714,7.301,https://myanimelist.net/anime/483/Kurau_Phantom_Memory,7876,fall,2004 
Mahoraba: Heartful days,TV (26 eps),Jan 2005 - Jun 2005,25085,"Comedy, Drama, Romance",Unknown,Discotek Media,103,4041,7.301,https://myanimelist.net/anime/519/Mahoraba__Heartful_days,10112,winter,2005 
Maria-sama ga Miteru,TV (13 eps),Jan 2004 - Apr 2004,65876,"Drama, Girls Love",Thursdays at Unknown,"Nozomi Entertainment, Maiden Japan",667,2429,7.301,https://myanimelist.net/anime/158/Maria-sama_ga_Miteru,20695,winter,2004 
Mushibugyou,TV (26 eps),Apr 2013 - Sep 2013,87367,"Action, Fantasy, Ecchi",Mondays at 18:00 (JST),Sentai Filmworks,182,2052,7.301,https://myanimelist.net/anime/17505/Mushibugyou,33755,spring,2013 
NG Knight Ramune & 40,TV (38 eps),Apr 1990 - Jan 1991,3503,"Action, Adventure, Comedy, Fantasy",Fridays at 18:30 (JST),Discotek Media,25,8811,7.301,https://myanimelist.net/anime/2084/NG_Knight_Ramune___40,1009,spring,1990 
Onihei,TV (13 eps),Jan 2017 - Apr 2017,38883,"Action, Drama",Tuesdays at 02:05 (JST),"None found, add some",102,3250,7.301,https://myanimelist.net/anime/33983/Onihei,14420,winter,2017 
Peace Maker Kurogane,TV (24 eps),Oct 2003 - Mar 2004,56086,"Action, Comedy",Unknown,"ADV Films, Funimation",277,2667,7.301,https://myanimelist.net/anime/161/Peace_Maker_Kurogane,22894,fall,2003 
Shin Chou Kyou Ryo: Condor Hero,TV (26 eps),Apr 2001 - Oct 2002,8784,"Adventure, Drama, Romance",Unknown,"None found, add some",32,6231,7.301,https://myanimelist.net/anime/959/Shin_Chou_Kyou_Ryo__Condor_Hero,2702,spring,2001 
Sousei no Onmyouji,TV (50 eps),Apr 2016 - Mar 2017,485220,"Action, Fantasy, Romance",Wednesdays at 18:25 (JST),Crunchyroll,2861,402,7.301,https://myanimelist.net/anime/32105/Sousei_no_Onmyouji,203665,spring,2016 
Suite Precure♪,TV (48 eps),Feb 2011 - Jan 2012,14896,"Action, Fantasy",Unknown,"None found, add some",115,5022,7.301,https://myanimelist.net/anime/9893/Suite_Precure%E2%99%AA,5774,fall,2011 
Tetsujin 28-gou (2004),TV (26 eps),Apr 2004 - Sep 2004,5046,"Adventure, Drama, Sci-Fi",Unknown,"Discotek Media, Geneon Entertainment USA",38,7787,7.301,https://myanimelist.net/anime/2337/Tetsujin_28-gou_2004,1121,spring,2004 
Lupin III: Part III,TV (50 eps),Mar 1984 - Dec 1985,20733,"Action, Adventure, Comedy",Unknown,Discotek Media,27,4386,7.291,https://myanimelist.net/anime/1426/Lupin_III__Part_III,6093,fall,1984 
Mahouka Koukou no Rettousei: Raihousha-hen,TV (13 eps),Oct 2020 - Dec 2020,323141,"Action, Romance, Sci-Fi, Supernatural",Sundays at 00:30 (JST),Aniplex of America,1225,653,7.291,https://myanimelist.net/anime/40497/Mahouka_Koukou_no_Rettousei__Raihousha-hen,145085,fall,2020 
Moonlight Mile 2nd Season: Touch Down,TV (14 eps),Sep 2007 - Dec 2007,4834,"Adventure, Drama, Sci-Fi",Unknown,"None found, add some",10,7925,7.291,https://myanimelist.net/anime/2929/Moonlight_Mile_2nd_Season__Touch_Down,1717,fall,2007 
Noir,TV (26 eps),Apr 2001 - Sep 2001,108069,"Action, Drama, Mystery",Fridays at 01:15 (JST),"ADV Films, Funimation",823,1785,7.291,https://myanimelist.net/anime/272/Noir,38262,spring,2001 
Rec,TV (9 eps),Feb 2006 - Mar 2006,110059,"Comedy, Drama, Romance",Fridays at 01:55 (JST),"None found, add some",311,1756,7.291,https://myanimelist.net/anime/710/Rec,56631,fall,2006 
Sankarea,TV (12 eps),Apr 2012 - Jun 2012,583451,"Comedy, Horror, Romance, Supernatural, Ecchi",Fridays at 01:55 (JST),Funimation,2564,331,7.291,https://myanimelist.net/anime/11499/Sankarea,300741,spring,2012 
Sekirei: Pure Engagement,TV (13 eps),Jul 2010 - Sep 2010,232439,"Action, Comedy, Ecchi",Unknown,Funimation,515,924,7.291,https://myanimelist.net/anime/5277/Sekirei__Pure_Engagement,128509,summer,2010 
Senyuu.,TV (13 eps),Jan 2013 - Apr 2013,113194,"Action, Comedy, Fantasy",Unknown,"None found, add some",604,1719,7.291,https://myanimelist.net/anime/15751/Senyuu,51333,winter,2013 
Strike Witches 2,TV (12 eps),Jul 2010 - Sep 2010,81298,"Action, Sci-Fi, Ecchi",Thursdays at 01:30 (JST),Funimation,266,2129,7.291,https://myanimelist.net/anime/6381/Strike_Witches_2,39255,summer,2010 
Tiger Mask,TV (105 eps),Oct 1969 - Sep 1971,9862,"Drama, Sports",Unknown,"None found, add some",69,5935,7.291,https://myanimelist.net/anime/3009/Tiger_Mask,3836,fall,1969 
Top Secret: The Revelation,TV (26 eps),Apr 2008 - Oct 2008,18668,"Mystery, Sci-Fi",Unknown,"None found, add some",71,4609,7.291,https://myanimelist.net/anime/3859/Top_Secret__The_Revelation,4108,spring,2008 
True Tears,TV (13 eps),Jan 2008 - Mar 2008,210853,"Drama, Romance",Sundays at 01:00 (JST),"Bandai Entertainment, Discotek Media, Bandai Visual USA",894,1023,7.291,https://myanimelist.net/anime/2129/True_Tears,98946,winter,2008 
Wagamama☆Fairy Mirumo de Pon!,TV (172 eps),Apr 2002 - Sep 2005,18533,"Adventure, Comedy, Drama, Fantasy, Romance",Unknown,VIZ Media,118,4624,7.291,https://myanimelist.net/anime/1744/Wagamama%E2%98%86Fairy_Mirumo_de_Pon,8229,spring,2002 
Watashi ni Tenshi ga Maiorita!,TV (12 eps),Jan 2019 - Mar 2019,188762,"Comedy, Girls Love",Tuesdays at 22:00 (JST),"None found, add some",926,1128,7.291,https://myanimelist.net/anime/37993/Watashi_ni_Tenshi_ga_Maiorita,77102,winter,2019 
YAT Anshin! Uchuu Ryokou 2,TV (25 eps),Apr 1998 - Oct 1998,1228,"Adventure, Comedy, Sci-Fi",Saturdays at 18:00 (JST),"None found, add some",6,11732,7.291,https://myanimelist.net/anime/1892/YAT_Anshin_Uchuu_Ryokou_2,534,spring,1998 
Bokutachi wa Benkyou ga Dekinai,TV (13 eps),Apr 2019 - Jun 2019,408767,"Comedy, Romance",Sundays at 00:30 (JST),Aniplex of America,1583,495,7.291,https://myanimelist.net/anime/38186/Bokutachi_wa_Benkyou_ga_Dekinai,213108,spring,2019 
Chrome Shelled Regios,TV (24 eps),Jan 2009 - Jun 2009,205787,"Action, Adventure, Fantasy, Sci-Fi",Unknown,Funimation,1032,1051,7.291,https://myanimelist.net/anime/4186/Chrome_Shelled_Regios,102002,winter,2009 
Gakuen Utopia Manabi Straight!,TV (12 eps),Jan 2007 - Mar 2007,30030,"Comedy, Slice of Life",Unknown,Discotek Media,134,3703,7.291,https://myanimelist.net/anime/1858/Gakuen_Utopia_Manabi_Straight,10567,winter,2007 
Galaxy Angel 3,TV (26 eps),Oct 2002 - Mar 2003,9284,"Comedy, Sci-Fi",Sundays at 09:30 (JST),"Nozomi Entertainment, Bandai Entertainment",18,6096,7.291,https://myanimelist.net/anime/653/Galaxy_Angel_3,4067,fall,2002 
Gatchaman Crowds,TV (12 eps),Jul 2013 - Sep 2013,179480,"Adventure, Sci-Fi",Unknown,Sentai Filmworks,1215,1182,7.291,https://myanimelist.net/anime/18229/Gatchaman_Crowds,68531,summer,2013 
Hige wo Soru. Soshite Joshikousei wo Hirou.,TV (13 eps),Apr 2021 - Jun 2021,554440,"Drama, Romance",Mondays at 22:30 (JST),"None found, add some",5931,350,7.291,https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,293420,spring,2021 
Imouto sae Ireba Ii.,TV (12 eps),Oct 2017 - Dec 2017,316424,"Comedy, Romance, Ecchi",Sundays at 22:30 (JST),Funimation,1703,671,7.291,https://myanimelist.net/anime/35413/Imouto_sae_Ireba_Ii,145755,fall,2017 
