,anime name,anime_type,anime_aired,anime_members,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score,link_to_anime_page
108,Road of Naruto,ONA (1 eps),Oct 2022 - Oct 2022,"20,786 members","['Genres: Action, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 90'],['Popularity: #4379'],"['Score: 8.531 (scored by 13,134 users)']",https://myanimelist.net/anime/53236/Road_of_Naruto
109,Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,"3,647,540 members","['Genres: Action, Award Winning, Drama, Suspense']",['Broadcast: Sundays at 01:58 (JST)'],['Licensors: Funimation'],"['Favorites: 159,703']",['Popularity: #1'],"['Score: 8.531 (scored by 2,593,615 users)']",https://myanimelist.net/anime/16498/Shingeki_no_Kyojin
110,Shoujo☆Kageki Revue Starlight Movie,Movie (1 eps),Jun 2021 - Jun 2021,"14,447 members",[],[],['Licensors: Sentai Filmworks'],['Favorites: 579'],['Popularity: #5080'],"['Score: 8.531 (scored by 5,555 users)']",https://myanimelist.net/anime/40664/Shoujo%E2%98%86Kageki_Revue_Starlight_Movie
111,Sora yori mo Tooi Basho,TV (13 eps),Jan 2018 - Mar 2018,"467,337 members","['Genres: Adventure, Comedy, Drama']",['Broadcast: Tuesdays at 20:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 13,280']",['Popularity: #425'],"['Score: 8.531 (scored by 201,914 users)']",https://myanimelist.net/anime/35839/Sora_yori_mo_Tooi_Basho
112,Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,"809,673 members","['Genres: Drama, Sci-Fi, Suspense']",['Broadcast: Thursdays at 01:35 (JST)'],['Licensors: Funimation'],"['Favorites: 11,151']",['Popularity: #191'],"['Score: 8.531 (scored by 390,473 users)']",https://myanimelist.net/anime/30484/Steins_Gate_0
113,Summertime Render,TV (25 eps),Apr 2022 - Sep 2022,"381,529 members","['Genres: Mystery, Supernatural, Suspense']",['Broadcast: Fridays at 00:00 (JST)'],['Licensors: Disney Platform Distribution'],"['Favorites: 6,071']",['Popularity: #533'],"['Score: 8.531 (scored by 133,318 users)']",https://myanimelist.net/anime/47194/Summertime_Render
114,Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,"198,799 members",[],['Broadcast: Thursdays at 23:00 (JST)'],"['Licensors: None found, add some']","['Favorites: 2,811']",['Popularity: #1079'],"['Score: 8.531 (scored by 81,524 users)']",https://myanimelist.net/anime/38474/Yuru_Camp%E2%96%B3_Season_2
115,Yakusoku no Neverland,TV (12 eps),Jan 2019 - Mar 2019,"1,815,291 members","['Genres: Mystery, Sci-Fi, Suspense']",['Broadcast: Fridays at 00:55 (JST)'],['Licensors: Aniplex of America'],"['Favorites: 31,863']",['Popularity: #38'],"['Score: 8.521 (scored by 1,188,770 users)']",https://myanimelist.net/anime/37779/Yakusoku_no_Neverland
116,Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,"153,756 members","['Genres: Action, Comedy, Sci-Fi']",[],['Licensors: Sentai Filmworks'],['Favorites: 594'],['Popularity: #1363'],"['Score: 8.521 (scored by 89,170 users)']",https://myanimelist.net/anime/7472/Gintama_Movie_1__Shinyaku_Benizakura-hen
117,Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,"186,254 members","['Genres: Action, Comedy, Sci-Fi']",['Broadcast: Mondays at 01:35 (JST)'],"['Licensors: None found, add some']",['Favorites: 866'],['Popularity: #1143'],"['Score: 8.521 (scored by 94,047 users)']",https://myanimelist.net/anime/35843/Gintama__Porori-hen
