,anime name,link_to_anime_page,anime_type,anime_aired,anime_members
139,Nichijou,https://myanimelist.net/anime/10165/Nichijou,TV (26 eps),Apr 2011 - Sep 2011,"833,302 members"
140,Mo Dao Zu Shi,https://myanimelist.net/anime/37208/Mo_Dao_Zu_Shi,ONA (15 eps),Jul 2018 - Oct 2018,"210,773 members"
141,Owarimonogatari,https://myanimelist.net/anime/31181/Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,"453,802 members"
142,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,https://myanimelist.net/anime/42203/Re_Zero_kara_Hajimeru_Isekai_Seikatsu_2nd_Season_Part_2,TV (12 eps),Jan 2021 - Mar 2021,"782,678 members"
143,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,https://myanimelist.net/anime/11577/Steins_Gate_Movie__Fuka_Ryouiki_no_D%C3%A9j%C3%A0_vu,Movie (1 eps),Apr 2013 - Apr 2013,"560,741 members"
144,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu%E2%98%86Yuu%E2%98%86Hakusho,TV (112 eps),Oct 1992 - Jan 1995,"639,076 members"
145,Zoku Owarimonogatari,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari,Movie (6 eps),Nov 2018 - Nov 2018,"209,705 members"
146,Golden Kamuy 3rd Season,https://myanimelist.net/anime/40059/Golden_Kamuy_3rd_Season,TV (12 eps),Oct 2020 - Dec 2020,"146,613 members"
147,Karakai Jouzu no Takagi-san 3,https://myanimelist.net/anime/49721/Karakai_Jouzu_no_Takagi-san_3,TV (12 eps),Jan 2022 - Mar 2022,"161,689 members"
148,Haikyuu!!,https://myanimelist.net/anime/20583/Haikyuu,TV (25 eps),Apr 2014 - Sep 2014,"1,821,763 members"
149,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_2nd_Season,TV (24 eps),Jan 2015 - Jun 2015,"1,015,292 members"
150,Mushishi Zoku Shou: Odoro no Michi,https://myanimelist.net/anime/24687/Mushishi_Zoku_Shou__Odoro_no_Michi,Special (1 eps),Aug 2014 - Aug 2014,"95,044 members"
151,Saenai Heroine no Sodatekata Fine,https://myanimelist.net/anime/36885/Saenai_Heroine_no_Sodatekata_Fine,Movie (1 eps),Oct 2019 - Oct 2019,"166,909 members"
152,Tian Guan Ci Fu Special,https://myanimelist.net/anime/44070/Tian_Guan_Ci_Fu_Special,ONA (1 eps),Feb 2021 - Feb 2021,"36,923 members"
153,Kono Oto Tomare! Part 2,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_Part_2,TV (13 eps),Oct 2019 - Dec 2019,"156,893 members"
154,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,TV (26 eps),Oct 2002 - Oct 2003,"379,031 members"
155,Mo Dao Zu Shi: Xian Yun Pian,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi__Xian_Yun_Pian,ONA (8 eps),Aug 2019 - Sep 2019,"94,443 members"
156,Mononoke,https://myanimelist.net/anime/2246/Mononoke,TV (12 eps),Jul 2007 - Sep 2007,"297,980 members"
157,Saiki Kusuo no Ψ-nan 2,https://myanimelist.net/anime/34612/Saiki_Kusuo_no_%CE%A8-nan_2,TV (24 eps),Jan 2018 - Jun 2018,"586,097 members"
158,Gintama: Yorinuki Gintama-san on Theater 2D,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D,Movie (2 eps),Aug 2012 - Aug 2012,"41,623 members"
159,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue,TV (12 eps),Jul 2018 - Sep 2018,"705,419 members"
160,Josee to Tora to Sakana-tachi,https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,"357,808 members"
161,Saiki Kusuo no Ψ-nan,https://myanimelist.net/anime/33255/Saiki_Kusuo_no_%CE%A8-nan,TV (120 eps),Jul 2016 - Dec 2016,"1,002,777 members"
