,anime_genres,anime_broadcast,anime_licensors,anime_favorites,anime_popularity,anime_score
96,"['Genres: Comedy, Drama, Romance, Ecchi']",[],['Licensors: VIZ Media'],['Favorites: 131'],['Popularity: #3826'],"['Score: 7.201 (scored by 12,410 users)']"
97,"['Genres: Romance, Slice of Life']",[],"['Licensors: None found, add some']",['Favorites: 41'],['Popularity: #4924'],"['Score: 7.201 (scored by 7,267 users)']"
98,"['Genres: Action, Fantasy']",['Broadcast: Sundays at 08:30 (JST)'],"['Licensors: None found, add some']",['Favorites: 40'],['Popularity: #5897'],"['Score: 7.201 (scored by 3,917 users)']"
99,"['Genres: Action, Fantasy']",['Broadcast: Unknown'],['Licensors: Discotek Media'],"['Favorites: 2,066']",['Popularity: #1047'],"['Score: 7.201 (scored by 102,408 users)']"
100,[],['Broadcast: Thursdays at 18:25 (JST)'],"['Licensors: None found, add some']",['Favorites: 66'],['Popularity: #5627'],"['Score: 7.201 (scored by 3,274 users)']"
101,[],[],"['Licensors: None found, add some']",['Favorites: 22'],['Popularity: #3416'],"['Score: 7.201 (scored by 17,680 users)']"
102,"['Genres: Action, Adventure, Fantasy']",['Broadcast: Thursdays at 23:30 (JST)'],"['Licensors: None found, add some']","['Favorites: 4,151']",['Popularity: #645'],"['Score: 7.201 (scored by 124,022 users)']"
103,"['Genres: Adventure, Fantasy, Mystery, Supernatural']",[],"['Licensors: None found, add some']",['Favorites: 11'],['Popularity: #9051'],['Score: 7.201 (scored by 763 users)']
104,"['Genres: Action, Sci-Fi']",[],['Licensors: Aniplex of America'],['Favorites: 73'],['Popularity: #3328'],"['Score: 7.201 (scored by 6,513 users)']"
105,"['Genres: Action, Adventure, Comedy, Drama']",[],"['Licensors: None found, add some']",['Favorites: 50'],['Popularity: #3055'],"['Score: 7.201 (scored by 22,101 users)']"
106,"['Genres: Adventure, Comedy, Fantasy']",[],"['Licensors: None found, add some']",['Favorites: 1'],['Popularity: #7398'],"['Score: 7.201 (scored by 3,479 users)']"
107,"['Genres: Action, Adventure, Comedy, Fantasy, Sci-Fi']",[],"['Licensors: None found, add some']",['Favorites: 112'],['Popularity: #1771'],"['Score: 7.201 (scored by 69,138 users)']"
108,"['Genres: Adventure, Fantasy']",['Broadcast: Fridays at 01:30 (JST)'],['Licensors: Funimation'],['Favorites: 84'],['Popularity: #2285'],"['Score: 7.201 (scored by 37,737 users)']"
109,"['Genres: Action, Comedy, Fantasy']",['Broadcast: Unknown'],"['Licensors: None found, add some']",['Favorites: 84'],['Popularity: #5384'],"['Score: 7.201 (scored by 5,024 users)']"
110,[],[],['Licensors: Sentai Filmworks'],['Favorites: 32'],['Popularity: #3349'],"['Score: 7.201 (scored by 19,610 users)']"
111,[],[],"['Licensors: None found, add some']",['Favorites: 2'],['Popularity: #10932'],['Score: 7.201 (scored by 363 users)']
112,"['Genres: Horror, Mystery, Supernatural, Suspense']",['Broadcast: Thursdays at 23:30 (JST)'],['Licensors: Funimation'],"['Favorites: 1,434']",['Popularity: #843'],"['Score: 7.201 (scored by 82,138 users)']"
113,"['Genres: Comedy, Romance, Supernatural']",['Broadcast: Wednesdays at 01:00 (JST)'],['Licensors: Funimation'],['Favorites: 374'],['Popularity: #1333'],"['Score: 7.201 (scored by 62,658 users)']"
114,"['Genres: Comedy, Fantasy']",[],['Licensors: Sentai Filmworks'],['Favorites: 7'],['Popularity: #4538'],"['Score: 7.201 (scored by 9,803 users)']"
115,"['Genres: Adventure, Drama, Fantasy, Horror, Supernatural']",[],['Licensors: Super Techno Arts'],['Favorites: 341'],['Popularity: #2216'],"['Score: 7.201 (scored by 33,698 users)']"
116,"['Genres: Action, Adventure']",[],"['Licensors: None found, add some']",['Favorites: 19'],['Popularity: #5397'],"['Score: 7.201 (scored by 4,327 users)']"
